CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window
2017159125,EMAIL,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/26/2017,11:45 AM,12,2017,RESOL,Y,01/23/2018,1,2018,28,333 W 46TH TER,"333 W 46TH TER
64112
(39.042984, -94.590899)",64112,Country Club Plaza,Jackson,4,Central,139680,39.042984,-94.590899,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017159125,
2017158575,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/22/2017,07:17 AM,12,2017,RESOL,Y,01/23/2018,1,2018,32,1760 W 29TH ST,"1760 W 29TH ST
64108
(39.075416, -94.60664)",64108,,Jackson,4,Central,128929,39.075416,-94.60664,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017158575,
2017157533,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/19/2017,03:51 PM,12,2017,RESOL,Y,01/17/2018,1,2018,29,7433 ARLETA BLVD,"7433 ARLETA BLVD
64132
(38.992026, -94.56374)",64132,East Meyer 7,Jackson,5,Metro,115338,38.992026,-94.56374,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017157533,
2017157669,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Other,Public Safety,Police,Other,12/20/2017,07:42 AM,12,2017,RESOL,N,01/17/2018,1,2018,28,11713 GRANDVIEW RD,"11713 GRANDVIEW RD
64137
(38.911625, -94.53086)",64137,Hickman Mills,Jackson,6,South,74357,38.911625,-94.53086,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017157669,
2017156973,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/18/2017,03:39 PM,12,2017,RESOL,Y,01/17/2018,1,2018,30,3507 TRACY AVE,"3507 TRACY AVE
64109
(39.062539, -94.569095)",64109,Squier Park,Jackson,3,Central,134722,39.062539,-94.569095,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017156973,
2017155395,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/13/2017,02:53 PM,12,2017,RESOL,Y,01/04/2018,1,2018,22,3255 N HOLMES ST,"3255 N HOLMES ST
64116
(39.156408, -94.570274)",64116,River View,Clay,4,Shoal Creek,85487,39.156408,-94.570274,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017155395,
2017150872,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/02/2017,06:49 AM,12,2017,RESOL,Y,12/20/2017,12,2017,18,3707 WABASH AVE,"3707 WABASH AVE
64128
(39.059031, -94.554184)",64128,Ivanhoe Northeast,Jackson,3,East,134287,39.059031,-94.554184,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017150872,
2017151495,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/04/2017,04:15 PM,12,2017,RESOL,Y,01/04/2018,1,2018,31,810 W 13TH ST,"810 W 13TH ST
64105
(39.098791, -94.594882)",64105,Westside North,Jackson,4,Central,122942,39.098791,-94.594882,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017151495,
2017151404,EMAIL,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,12/04/2017,02:43 PM,12,2017,RESOL,Y,12/20/2017,12,2017,16,311 W 72ND ST,"311 W 72ND ST
64114
(38.997067, -94.593194)",64114,Tower Homes,Jackson,6,Metro,112469,38.997067,-94.593194,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017151404,
2017149109,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/28/2017,04:09 PM,11,2017,RESOL,Y,12/20/2017,12,2017,22,400 W 31ST ST,"400 W 31ST ST
64108
(39.074934, -94.591904)",64108,Westside South,Jackson,4,Central,128568,39.074934,-94.591904,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017149109,
2017149036,EMAIL,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/28/2017,02:43 PM,11,2017,RESOL,N,12/01/2017,12,2017,3,2201 MANCHESTER TRFY,"2201 MANCHESTER TRFY
64126
(39.083302, -94.491819)",64126,Blue Valley Industrial,Jackson,3,East,46565,39.083302,-94.491819,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017149036,
2017149028,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/28/2017,02:35 PM,11,2017,RESOL,Y,12/20/2017,12,2017,22,3301 N HOLMES ST,"3301 N HOLMES ST
64116
(39.15395, -94.568416)",64116,River View,Clay,4,Shoal Creek,85488,39.15395,-94.568416,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017149028,
2017149011,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/28/2017,02:14 PM,11,2017,RESOL,Y,12/20/2017,12,2017,22,1100 SUMMIT ST,"1100 SUMMIT ST
64105
(39.098791, -94.594882)",64105,Westside North,Jackson,4,Central,122942,39.098791,-94.594882,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017149011,
2017148904,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/28/2017,12:41 PM,11,2017,RESOL,Y,01/04/2018,1,2018,37,9132 WESTERN HILLS DR,"9132 WESTERN HILLS DR
64114
(38.961734, -94.598544)",64114,Western Hills,Jackson,6,Metro,152413,38.961734,-94.598544,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017148904,
2017149389,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/29/2017,11:03 AM,11,2017,RESOL,Y,12/20/2017,12,2017,21,2737 BALES AVE,"2737 BALES AVE
64128
(39.075457, -94.541882)",64128,Ingleside,Jackson,3,East,23776,39.075457,-94.541882,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017149389,
2017147804,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/25/2017,10:35 AM,11,2017,RESOL,Y,12/20/2017,12,2017,25,1123 E 49TH ST,"1123 E 49TH ST
64110
(39.037667, -94.571909)",64110,Eastern 49-63,Jackson,5,Metro,225496,39.037667,-94.571909,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017147804,
2017147982,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/27/2017,08:41 AM,11,2017,RESOL,Y,12/20/2017,12,2017,23,1050 E 16TH ST,"1050 E 16TH ST
64108
(39.094447, -94.570705)",64108,Hospital Hill,Jackson,3,Central,122846,39.094447,-94.570705,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017147982,
2017147313,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/21/2017,10:00 PM,11,2017,RESOL,N,11/22/2017,11,2017,1,4414 E 10TH ST,"4414 E 10TH ST
64127
(39.101169, -94.529541)",64127,Lykins,Jackson,3,East,8311,39.101169,-94.529541,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017147313,
2017147143,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/21/2017,01:41 PM,11,2017,RESOL,Y,12/20/2017,12,2017,29,8502 HOLMES ST,"8502 HOLMES ST
64131
(38.971954, -94.583882)",64131,Santa Fe Hills,Jackson,6,Metro,149408,38.971954,-94.583882,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017147143,
2017147583,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/22/2017,01:08 PM,11,2017,RESOL,Y,12/20/2017,12,2017,28,4402 CLOON AVE,"4402 CLOON AVE
64127
(39.100289, -94.53003)",64127,Lykins,Jackson,3,East,8347,39.100289,-94.53003,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017147583,
2017146124,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/17/2017,04:18 PM,11,2017,RESOL,Y,12/20/2017,12,2017,33,4337 TROOST AVE,"4337 TROOST AVE
64110
(39.047479, -94.57222)",64110,Manheim Park,Jackson,3,Central,137876,39.047479,-94.57222,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017146124,
2017146216,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Other,Public Safety,Police,Other,11/18/2017,07:57 AM,11,2017,RESOL,N,12/05/2017,12,2017,17,9300 OLD SANTA FE RD,"9300 OLD SANTA FE RD
64138
(38.955465, -94.5084)",64138,Loma Vista,Jackson,5,South,56296,38.955465,-94.5084,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017146216,
2017144973,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/15/2017,01:51 PM,11,2017,RESOL,Y,12/05/2017,12,2017,20,2459 SUMMIT ST,"2459 SUMMIT ST
64108
(39.083034, -94.593552)",64108,Westside South,Jackson,4,Central,124247,39.083034,-94.593552,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017144973,
2017144388,EMAIL,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/14/2017,01:45 PM,11,2017,RESOL,Y,12/05/2017,12,2017,21,6900 E 12TH ST,"6900 E 12TH ST
64126
(39.098514, -94.501917)",64126,Sheffield,Jackson,4,East,5324,39.098514,-94.501917,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017144388,
2017143467,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/13/2017,09:38 AM,11,2017,RESOL,Y,11/28/2017,11,2017,15,4414 E 10TH ST,"4414 E 10TH ST
64127
(39.101169, -94.529541)",64127,Lykins,Jackson,3,East,8311,39.101169,-94.529541,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017143467,
2017144213,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/14/2017,11:21 AM,11,2017,RESOL,Y,12/05/2017,12,2017,21,424 DONNELLY AVE,"424 DONNELLY AVE
64125
(39.108419, -94.484656)",64125,North Blue Ridge,Jackson,4,East,46763,39.108419,-94.484656,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017144213,
2017142896,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/09/2017,11:03 AM,11,2017,RESOL,Y,11/28/2017,11,2017,19,10700 N PLATTE PURCHASE DR,"10700 N PLATTE PURCHASE DR
64154
(39.285771, -94.604965)",64154,KCI & 2nd Creek,Platte,2,North,171437,39.285771,-94.604965,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017142896,
2017142448,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/08/2017,12:29 PM,11,2017,RESOL,Y,11/28/2017,11,2017,20,2604 E 25TH ST,"2604 E 25TH ST
64127
(39.080856, -94.551951)",64127,Washington Wheatley,Jackson,3,East,16245,39.080856,-94.551951,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017142448,
2017142304,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/08/2017,09:57 AM,11,2017,RESOL,Y,11/28/2017,11,2017,20,3821 BLUE RIDGE CTOF,"3821 BLUE RIDGE
CTOF 64133
(39.052948, -94.473292)",64133,Ashland Ridge,Jackson,3,East,48254,39.052948,-94.473292,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017142304,
2017142092,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/07/2017,03:45 PM,11,2017,RESOL,Y,11/28/2017,11,2017,21,4501 RAYTOWN RD,"4501 RAYTOWN RD
64129
(39.043993, -94.485124)",64129,,Jackson,3,East,50320,39.043993,-94.485124,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017142092,
2017141476,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,03:55 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,1230 BENTON BLVD,"1230 BENTON BLVD
64127
(39.097408, -94.544911)",64127,Independence Plaza,Jackson,3,East,11031,39.097408,-94.544911,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141476,
2017141472,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,03:48 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,2702 PEERY AVE,"2702 PEERY AVE
64127
(39.099983, -94.550091)",64127,Independence Plaza,Jackson,3,East,10683,39.099983,-94.550091,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141472,
2017141408,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,02:43 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,6224 E 16TH ST,"6224 E 16TH ST
64126
(39.092258, -94.508793)",64126,East Blue Valley,Jackson,3,East,6749,39.092258,-94.508793,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141408,
2017141407,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,02:41 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,815 W 12TH ST,"815 W 12TH ST
64105
(39.10012, -94.595343)",64105,,Jackson,4,Central,123363,39.10012,-94.595343,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141407,
2017141402,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,02:32 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,8300 WILSON AVE,"8300 WILSON AVE
64120
(39.10975, -94.485249)",64120,North Blue Ridge,Jackson,4,East,46751,39.10975,-94.485249,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141402,
2017141343,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/06/2017,01:48 PM,11,2017,RESOL,Y,11/28/2017,11,2017,22,11100 E 43RD ST,"11100 E 43RD ST
64133
(39.045438, -94.449712)",64133,Riss Lake,Jackson,3,East,255237,39.045438,-94.449712,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141343,
2017141150,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Other,Public Safety,Police,Other,11/06/2017,10:45 AM,11,2017,RESOL,N,11/28/2017,11,2017,22,7401 NE PARVIN RD,"7401 NE PARVIN RD
64117
(39.167881, -94.495256)",64117,Hill Haven,Clay,1,Shoal Creek,75313,39.167881,-94.495256,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017141150,
2017140888,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/05/2017,11:52 PM,11,2017,RESOL,Y,11/28/2017,11,2017,23,1100 SUMMIT ST,"1100 SUMMIT ST
64105
(39.098791, -94.594882)",64105,Westside North,Jackson,4,Central,122942,39.098791,-94.594882,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017140888,
2017140884,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/05/2017,11:26 PM,11,2017,RESOL,Y,11/28/2017,11,2017,23,616 WEST PENNWAY,"616 WEST PENNWAY
64108
(39.088006, -94.592193)",64108,Westside North,Jackson,4,Central,123842,39.088006,-94.592193,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017140884,
2017140869,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/05/2017,08:25 PM,11,2017,RESOL,Y,11/28/2017,11,2017,23,3005 PEERY AVE,"3005 PEERY AVE
64127
(39.099355, -94.546813)",64127,Independence Plaza,Jackson,3,East,10894,39.099355,-94.546813,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017140869,
2017140640,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/03/2017,01:37 PM,11,2017,RESOL,Y,11/28/2017,11,2017,25,4141 RAYTOWN RD,"4141 RAYTOWN RD
64129
(39.049363, -94.495651)",64129,,Jackson,3,East,47911,39.049363,-94.495651,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017140640,
2017140317,PHONE,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Homeless camp,Public Safety,Police,Homeless Camp,11/02/2017,04:15 PM,11,2017,RESOL,Y,11/21/2017,11,2017,19,2600 COLORADO AVE,"2600 COLORADO AVE
64127
(39.077791, -94.521677)",64127,East Community Team South,Jackson,3,East,20439,39.077791,-94.521677,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017140317,
